utt_id	spkr_id	lang	text	dur	file_id
0005_DoReCo_doreco_urum1249_UUM-TXT-LG-00000-A16	A16	cs	bizdä školada ohutturierıh urušai ohuduh šindidä ušahlarımız ohir urusčai _no biz bu dili čoğ istirıh näblem nia istirıh bizdä ğanamiirıh bu dili kismädä ğanmas	10.229	doreco_urum1249_UUM-TXT-LG-00000-A16
0007_DoReCo_doreco_urum1249_UUM-TXT-AN-00000-A11	A11	cs	nasıl terit bizım teritoriada tzalganın teretriasında kissä var čoğ kissä var meriamana var yoryos airos yoryos var _khristos _etot _mikhail _aihangelos var	14.462	doreco_urum1249_UUM-TXT-AN-00000-A11
0011_DoReCo_doreco_urum1249_UUM-TXT-FM-00000-A11	A11	cs	elädä gätırdıh yapi yaptıh amburada bögünähačet yaširıh ambu _forma	5.115	doreco_urum1249_UUM-TXT-FM-00000-A11
0007_DoReCo_doreco_urum1249_UUM-TXT-VL-00000-A12	A12	cs	o sıra yahši halhıdi _khlebasolni halhıdi	3.243	doreco_urum1249_UUM-TXT-VL-00000-A12
0005_DoReCo_doreco_urum1249_UUM-TXT-FM-00000-A07	A07	cs	_deduškam tez öldi _babuškam täk ğaldi	3.51	doreco_urum1249_UUM-TXT-FM-00000-A07
0006_DoReCo_doreco_urum1249_UUM-TXT-AN-00000-A08	A08	cs	dierdılär ki šeidır _ya dili dägišäjän yada šei religiai bizdä dägišmädıh	4.969	doreco_urum1249_UUM-TXT-AN-00000-A08
0013_DoReCo_doreco_urum1249_UUM-TXT-LG-00000-A16	A16	cs	bizım uže torunnar gidäjäh o sistemainan gürji dili alıšmah bizdä alıšamierıh bizä biz urusča dili oni biz yahši bülirıh biz elädä ohumišıh šindiačanda _da gürjüjädä biz alıšamazıh	13.44	doreco_urum1249_UUM-TXT-LG-00000-A16
0007_DoReCo_doreco_urum1249_UUM-TXT-VL-00000-A15	A15	cs	yahšidır gidirıh ište _škola molaya oh umaya darbazmarbaza dügün erınä obšepita klubuna	9.65	doreco_urum1249_UUM-TXT-VL-00000-A15
0013_DoReCo_doreco_urum1249_UUM-TXT-AN-00000-A14	A14	cs	yoğudi o sıra šei ävi zorunan trudunan yahtılar yaptılar elä olirdi ki säkkiz _on adam bir küčük kohta yaširdılär zorunan sıhirdılar	11.069	doreco_urum1249_UUM-TXT-AN-00000-A14
0008_DoReCo_doreco_urum1249_UUM-TXT-FM-00000-B06	B06	cs	_navah ki ištän sora iš oki buldi gäldi gürjistanda yapi buldi	8.41	doreco_urum1249_UUM-TXT-FM-00000-B06
0012_DoReCo_doreco_urum1249_UUM-TXT-AN-00000-B01	B01	cs	bašladılar yapmaya torpahtan yapılar soram _da fs_azar fp_mm _i bašladılar čüčük čüčük yapılar yapmaya yašamaya	9.314	doreco_urum1249_UUM-TXT-AN-00000-B01
0004_DoReCo_doreco_urum1249_UUM-TXT-AN-00000-B01	B01	cs	onnara kömäg etmıšti näsıl ki duimıštıh biz birtänä _general _paskeev	5.169	doreco_urum1249_UUM-TXT-AN-00000-B01
0007_DoReCo_doreco_urum1249_UUM-TXT-FE-00000-B04	B04	cs	ondan ğari genä _razni _razni yumurtalar boyadierlär	4.056	doreco_urum1249_UUM-TXT-FE-00000-B04
0008_DoReCo_doreco_urum1249_UUM-TXT-FM-00000-A16	A16	cs	genä nä diem _da bišedä yoh äptä burda	3.832	doreco_urum1249_UUM-TXT-FM-00000-A16
0011_DoReCo_doreco_urum1249_UUM-TXT-AN-00000-A12	A12	cs	amburamda ğar gıčlarımda _vabšem nä _čulki nä tufli ečbiše yoh _bosikom ambelä	5.02	doreco_urum1249_UUM-TXT-AN-00000-A12
0005_DoReCo_doreco_urum1249_UUM-TXT-FE-00000-B14	B14	cs	gürjülär šindik čoğ ziarata giderlär sağ jaallıh ziarattadır allağa čoğ _verit ederlär	11.255	doreco_urum1249_UUM-TXT-FE-00000-B14
0013_DoReCo_doreco_urum1249_UUM-TXT-FM-00000-A05	A05	cs	gardašlarım bänım _nu bän nä nahıledem bänım _semya gändımın yohtur	5.521	doreco_urum1249_UUM-TXT-FM-00000-A05
0013_DoReCo_doreco_urum1249_UUM-TXT-AN-00000-A12	A12	cs	fs_školada yahši ohierdım ama ärkärän gidämierdım elä olierdi soyuh ğar _uže tipi olierdi gidämierdım ğalierdım učitellär gälierdi bilämä babama dierdılär niä yollamien bu yahši ohian ui_ušah	12.473	doreco_urum1249_UUM-TXT-AN-00000-A12
0006_DoReCo_doreco_urum1249_UUM-TXT-FE-00000-A09	A09	cs	_na išter nahılederım budur	1.334	doreco_urum1249_UUM-TXT-FE-00000-A09
0009_DoReCo_doreco_urum1249_UUM-TXT-FM-00000-A06	A06	cs	fp_e torpaği nä edem bän ğoja adam tekhnikam yoh bišem yoh _kak _nibud ištem oğlan biräz šei oldi	10.68	doreco_urum1249_UUM-TXT-FM-00000-A06
0015_DoReCo_doreco_urum1249_UUM-TXT-VL-00000-A08	A08	cs	_i _vsyo buda ui_buidi	1.35	doreco_urum1249_UUM-TXT-VL-00000-A08
0013_DoReCo_doreco_urum1249_UUM-TXT-VL-00000-A14	A14	cs	semyada čoği eddi adamdır fp_äm čoği bu kövdä pr_eddi pr_adam üč _semya var bunnar bayazovların semyalaridır bunnar aššahta genä bir _semya var školanın yanında birda bizıh	14.82	doreco_urum1249_UUM-TXT-VL-00000-A14
0012_DoReCo_doreco_urum1249_UUM-TXT-VL-00000-B01	B01	cs	čoğ šei etmıštıh biz sävınierdıh o školalara onučun ki ušahlar alierdi _abrazavanie	7.549	doreco_urum1249_UUM-TXT-VL-00000-B01
0011_DoReCo_doreco_urum1249_UUM-TXT-AN-00000-A14	A14	cs	sora _deduškam karagezov spiridon angısiki yašerdi burda ambu kövdä bu kövdä oldi bänım babamda karagezov pr_valik sora olduh bän ğardašlarım yaširıh	13.046	doreco_urum1249_UUM-TXT-AN-00000-A14
0002_DoReCo_doreco_urum1249_UUM-TXT-FE-00000-A09	A09	cs	sabahtan gidirdıh gejädä ğalirdıh orda yat oturirdıh halılari särdıh oturirdıh _do fs_utr sabağaačen mer iamana ičındä oturirdıh	12.277	doreco_urum1249_UUM-TXT-FE-00000-A09
0006_DoReCo_doreco_urum1249_UUM-TXT-FM-00000-A06	A06	cs	bir torunda varıdi böyuk oğlandan o _da urusettädır šindi yašir	7.501	doreco_urum1249_UUM-TXT-FM-00000-A06
0008_DoReCo_doreco_urum1249_UUM-TXT-FE-00000-A05	A05	cs	onnar inanmirlär o güni biz išlämäh o yohtur o ui_günnär onnar išlirlär _bezrazlična	5.834	doreco_urum1249_UUM-TXT-FE-00000-A05
0017_DoReCo_doreco_urum1249_UUM-TXT-AN-00000-A05	A05	cs	äpımızä verdi toprah _savetski _sayuz peida oldi näisä	3.313	doreco_urum1249_UUM-TXT-AN-00000-A05
0009_DoReCo_doreco_urum1249_UUM-TXT-LG-00000-A16	A16	cs	bu dili elädä biz bülirdıh är _mament alıša bülürdüh ama urusčai bizä lazımıdi alıšmah ki baštan urusčainan äp gidirdılär	7.618	doreco_urum1249_UUM-TXT-LG-00000-A16
0006_DoReCo_doreco_urum1249_UUM-TXT-FE-00000-A13	A13	cs	ğurbanda _da _uže kim olir diah ki onnarın halhta olir onnar diah musulmandır biz ğurbanda rasgäldi čığırirıh onnarida ğurbana	8.978	doreco_urum1249_UUM-TXT-FE-00000-A13
0006_DoReCo_doreco_urum1249_UUM-TXT-AN-00000-B02	B02	cs	orda varıdi urus generali _paskevič	2.936	doreco_urum1249_UUM-TXT-AN-00000-B02
0008_DoReCo_doreco_urum1249_UUM-TXT-FE-00000-A09	A09	cs	elä fs_šindi gälir šei _paskha ğızılyumurta	5.2	doreco_urum1249_UUM-TXT-FE-00000-A09
0013_DoReCo_doreco_urum1249_UUM-TXT-AN-00000-B01	B01	cs	_nu elädä ğaldılar bizım kövdä	1.833	doreco_urum1249_UUM-TXT-AN-00000-B01
0014_DoReCo_doreco_urum1249_UUM-TXT-FE-00000-A14	A14	cs	bu fs_kövlärdän fs_öläng ärvänli fp_e kümbät bizdä onnarın ziaratlara gidirıh ärvänlia _naprimer medamorfos ki olir gidirıh kümbätä ay gardeli var	14.12	doreco_urum1249_UUM-TXT-FE-00000-A14
0003_DoReCo_doreco_urum1249_UUM-TXT-AN-00000-A13	A13	cs	fs_elä _tısyaču _vasemsot _dvatsat _sedmoi _tısyaču _vasemsot _tridsatıe _godı ğačti gäldlär	5.379	doreco_urum1249_UUM-TXT-AN-00000-A13
0004_DoReCo_doreco_urum1249_UUM-TXT-FM-00000-A04	A04	cs	bän gändım integratsiaya girdım _i burda ki yaširıh angi ökmättä angisıni ki dilıni ki bülmirdıh ävländım gürjia aldım gürjii	12.48	doreco_urum1249_UUM-TXT-FM-00000-A04
0020_DoReCo_doreco_urum1249_UUM-TXT-AN-00000-A05	A05	cs	_nu yašadıh _kak _nibud ambelä	1.499	doreco_urum1249_UUM-TXT-AN-00000-A05
0008_DoReCo_doreco_urum1249_UUM-TXT-VL-00000-A12	A12	cs	šindi elä _a onnarda äp gettılär gretsiaya köšti gettılär ištem o üč adam ğalmıš daa biše yoh	6.155	doreco_urum1249_UUM-TXT-VL-00000-A12
0008_DoReCo_doreco_urum1249_UUM-TXT-VL-00000-B01	B01	cs	_suda čoğ _vkusni su	3.4	doreco_urum1249_UUM-TXT-VL-00000-B01
0012_DoReCo_doreco_urum1249_UUM-TXT-FM-00000-A14	A14	cs	čoğ _družni _nu _i _što _što fahır čoğ _družni šeinän bögünä ačen gäldıh bizım semyamız ohunmıš äp	6.498	doreco_urum1249_UUM-TXT-FM-00000-A14
0008_DoReCo_doreco_urum1249_UUM-TXT-FE-00000-A07	A07	cs	ambu gälän halh khristian dägıl onnar inanmirlär _da meriamana _atmečat etmirlär	5.891	doreco_urum1249_UUM-TXT-FE-00000-A07
0010_DoReCo_doreco_urum1249_UUM-TXT-FE-00000-A16	A16	cs	sora meriamanai oinirlär _muzıka čağırirlär türki oni oinirıh türküsi ahnayah vardır meriamana o ahnayah čağırajah o günüsi	7.985	doreco_urum1249_UUM-TXT-FE-00000-A16
0007_DoReCo_doreco_urum1249_UUM-TXT-VL-00000-B10	B10	cs	_nu edditänä kissä varıdi	3.229	doreco_urum1249_UUM-TXT-VL-00000-B10
0011_DoReCo_doreco_urum1249_UUM-TXT-FE-00000-A15	A15	cs	iki gün iki gün _padryad emäh ičmähtır olmaz išlämäh	4.241	doreco_urum1249_UUM-TXT-FE-00000-A15
0017_DoReCo_doreco_urum1249_UUM-TXT-AN-00000-A09	A09	cs	buda gavlarınan onnari yahti ğıpğırmızi güzäl artıh onnarınan birär _stakan süd ičirdıh gidirdıh	6.14	doreco_urum1249_UUM-TXT-AN-00000-A09
0009_DoReCo_doreco_urum1249_UUM-TXT-FM-00000-A13	A13	cs	čätın ki yoğudi _savkhoz sırasi torpah yoğudi gidirdıh savkhoza išlirdıh olmirdi prablemali olirdi	9.778	doreco_urum1249_UUM-TXT-FM-00000-A13
0005_DoReCo_doreco_urum1249_UUM-TXT-FM-00000-B04	B04	cs	anami gördi _i ğaldılar _uže tiflistä güjistanda fs_yašam yašamainan	5.198	doreco_urum1249_UUM-TXT-FM-00000-B04
0010_DoReCo_doreco_urum1249_UUM-TXT-FM-00000-B12	B12	cs	_da ärišta narmalni	1.72	doreco_urum1249_UUM-TXT-FM-00000-B12
0006_DoReCo_doreco_urum1249_UUM-TXT-VL-00000-A09	A09	cs	šindik čoği häp oyani buyani gettılär ğaldılar _az onnarınan barabar yaš ajarlar gäldılär _ya onnarınan barabar yašerıh ištem	7.372	doreco_urum1249_UUM-TXT-VL-00000-A09
0010_DoReCo_doreco_urum1249_UUM-TXT-AN-00000-A09	A09	cs	fs_köti ui_hä šei torpah yapılarındada yašamıšam elä köti yapılarda yašamıšam hä _savsem köti	7.136	doreco_urum1249_UUM-TXT-AN-00000-A09
0010_DoReCo_doreco_urum1249_UUM-TXT-FM-00000-A15	A15	cs	školai ğutuldum šindi düšünirım gidim ohumaya _ili burdaim bahim	5.238	doreco_urum1249_UUM-TXT-FM-00000-A15
0001_DoReCo_doreco_urum1249_UUM-TXT-LG-00000-A10	A10	cs	fs_biz olduh ohuduh _russki yazıgi	2.317	doreco_urum1249_UUM-TXT-LG-00000-A10
0001_DoReCo_doreco_urum1249_UUM-TXT-AN-00000-B14	B14	cs	analarım babalarım gäldılär aa šeidän pontos @ durlar gäldılär turtsiadan	6.763	doreco_urum1249_UUM-TXT-AN-00000-B14
0012_DoReCo_doreco_urum1249_UUM-TXT-VL-00000-A11	A11	cs	biz khristian millätiih biz allağa inanirıh allağa inanirıh onučun ki allah _eto _naš bizım fs_anamız babamızdır anamızdır	12.615	doreco_urum1249_UUM-TXT-VL-00000-A11
0010_DoReCo_doreco_urum1249_UUM-TXT-FM-00000-A10	A10	cs	bizdä gidämädıh _vazmožnost olmadi ğaldıh burda	3.659	doreco_urum1249_UUM-TXT-FM-00000-A10
0004_DoReCo_doreco_urum1249_UUM-TXT-VL-00000-A04	A04	cs	_i biz bülerıh ki jinis bu _trialetski zonanın ortasındaih	5.584	doreco_urum1249_UUM-TXT-VL-00000-A04
0006_DoReCo_doreco_urum1249_UUM-TXT-AN-00000-A13	A13	cs	elädä ište dädämız ui_äbämız oldi biz _pakalenya gettıh yaširıh ğaldıh buralarda	5.493	doreco_urum1249_UUM-TXT-AN-00000-A13
0012_DoReCo_doreco_urum1249_UUM-TXT-FM-00000-A12	A12	cs	burdanda iki uša oğlum vardır biri burda birida gretsiadaidi burdaidi getti o _da gidip gälier orda	6.434	doreco_urum1249_UUM-TXT-FM-00000-A12
0007_DoReCo_doreco_urum1249_UUM-TXT-VL-00000-A05	A05	cs	_vot _s ji čoğ dutarli kövudi rayonda alerdıh _pervoe _mesto _vasnavnom bu köv jinis	7.177	doreco_urum1249_UUM-TXT-VL-00000-A05
0009_DoReCo_doreco_urum1249_UUM-TXT-FE-00000-A08	A08	cs	onučun ki biz _khristianıh giderıh kissäya onučun bu yahši šei edirıh bu _prazdniki gečırirıh	5.174	doreco_urum1249_UUM-TXT-FE-00000-A08
