utt_id	spkr_id	lang	text	dur
0001_DoReCo_doreco_urum1249_UUM-TXT-AN-00000-B13	B13	urum	näsıl bizım halh gäldi gürjüstanda	2.391
0001_DoReCo_doreco_urum1249_UUM-TXT-AN-00000-B14	B14	cs	analarım babalarım gäldılär aa šeidän pontos @ durlar gäldılär turtsiadan	6.763
0001_DoReCo_doreco_urum1249_UUM-TXT-AN-00000-B16	B16	russ	_načat	0.37
0001_DoReCo_doreco_urum1249_UUM-TXT-CL-00000-A03	A03	urum	ein ičın ğurban olmıšam sizä	2.124
0001_DoReCo_doreco_urum1249_UUM-TXT-CL-00000-A04	A04	urum	biz türküläri duirıh	5.583
0001_DoReCo_doreco_urum1249_UUM-TXT-CL-00000-A05	A05	urum	ottuz el oldi	0.971
0001_DoReCo_doreco_urum1249_UUM-TXT-CL-00000-A07	A07	cs	_deduškam nahıl edir	1.249
0001_DoReCo_doreco_urum1249_UUM-TXT-CL-00000-A10	A10	urum	gidirdım yoluma	1.18
0001_DoReCo_doreco_urum1249_UUM-TXT-FE-00000-A01	A01	cs	biz meriamanai ederıh _dvadsat _vasmoe _avgusta	3.016
0001_DoReCo_doreco_urum1249_UUM-TXT-FE-00000-A02	A02	cs	prazdnikläri _asobenna bizım yahši olier meriamana	4.32
0001_DoReCo_doreco_urum1249_UUM-TXT-FE-00000-A03	A03	cs	meriamana oldi bizım _balšoi böyuk šeidır sävınčli gündır	4.981
0001_DoReCo_doreco_urum1249_UUM-TXT-FE-00000-A04	A04	urum	biz bizım kövdä var kissä angısının böyuk kissädır meriamanadır	7.328
0001_DoReCo_doreco_urum1249_UUM-TXT-FE-00000-A05	A05	cs	siz biz nävädä vahıt gäler meriamana biz edirıh o _prazniki _atlično näsılki lazım	5.08
0001_DoReCo_doreco_urum1249_UUM-TXT-FE-00000-A06	A06	cs	bu _svyatoi prazdnikläri bizım urumluh ahnayah _atmečat eder	5.898
0001_DoReCo_doreco_urum1249_UUM-TXT-FE-00000-A07	A07	cs	meriamanai bizım _atmečat edärih _dvatsat _vasmova _avgusta _dvadsat _sedmoe ahšamdan gidärih kissänın ğapısına	7.95
0001_DoReCo_doreco_urum1249_UUM-TXT-FE-00000-A08	A08	cs	bizım meriamanada ahšamdan eğılirıh _muzıka iš olir gälir är erdän fs_ha halh gälir	5.56
0001_DoReCo_doreco_urum1249_UUM-TXT-FE-00000-A09	A09	cs	sabahtan bögün diah fs_po šeidır _vaskresenie sabahtan ğalhıp gidirdıh _muzıka iš ärbiriš käserdılär ederdılär keif oinamah etmäh türki čağırmah oinamah etmäh	13.07
0001_DoReCo_doreco_urum1249_UUM-TXT-FE-00000-A10	A10	cs	meriamanai edirıh azırlanirıh _dvatsat _sedmoi ahšamdan ušahlar äp eğılirıh gidirıh _muzıka gätırirıh čalil halh oinir tohlimohli käsirıh edirıh	10.801
0001_DoReCo_doreco_urum1249_UUM-TXT-FE-00000-A11	A11	cs	meriamana ki gäler güni fs_gi gidirıh _sveča yazi yahirıh fs_š šeidä kissämızdä namazımızi edirıh ğurbanımızi käsirıh yanında bišırirıh	11.469
0001_DoReCo_doreco_urum1249_UUM-TXT-FE-00000-A13	A13	cs	bizım meriamana _dvatsat _vasmoe _avgusta	2.27
0001_DoReCo_doreco_urum1249_UUM-TXT-FE-00000-A15	A15	cs	meriamanai igirmi eddısi evlädän sora halh eğılir _muzıkai gätırirıh ište čalir oinirıh güzäl gidirıh mumumuzi yahirıh fırlanirıh	11.659
0001_DoReCo_doreco_urum1249_UUM-TXT-FE-00000-A16	A16	cs	fp_an bizım vardır meriamana _dvatsat _vasmoe gälir	2.607
0001_DoReCo_doreco_urum1249_UUM-TXT-FE-00000-B01	B01	cs	fp_ee fp_mm fs_ra isa _različie _meždu gürjülärınan _i urumlarınan näsıl ki _atmečat edierlär meriamanai var näsıl sizä diem	12.791
0001_DoReCo_doreco_urum1249_UUM-TXT-FE-00000-B02	B02	urum	meriamanadada bizım šeida tsalkada varıdi bir köv gäräk dierlär orda olier	8.108
0001_DoReCo_doreco_urum1249_UUM-TXT-FE-00000-B04	B04	cs	bizım halh pas khai näsıl _vstrečat edierlär	4.219
0001_DoReCo_doreco_urum1249_UUM-TXT-FE-00000-B06	B06	urum	biz čoğ säverıh meriamana güni	2.01
0001_DoReCo_doreco_urum1249_UUM-TXT-FE-00000-B07	B07	cs	böyüklär _uže bülerlär sabah meriamanadır	3.408
0001_DoReCo_doreco_urum1249_UUM-TXT-FE-00000-B08	B08	cs	meriamana _prazdniki eder bizım halh _savsem jürä	3.426
0001_DoReCo_doreco_urum1249_UUM-TXT-FE-00000-B10	B10	cs	meriamana bizım halh čoğ gäler ögzä šäärlärdän ögza erlärdän o _prazdnika gäler	8.014
0001_DoReCo_doreco_urum1249_UUM-TXT-FE-00000-B11	B11	cs	bizım halh meriamanai _atmečat edier _pasvoemu	3.75
0001_DoReCo_doreco_urum1249_UUM-TXT-FE-00000-B12	B12	cs	biz äroyun güvierdıh _navah gäläjah _paskha näida hä _navah gäläjah älä pr_o šei fs_gü güvierdıh	8.133
0001_DoReCo_doreco_urum1249_UUM-TXT-FE-00000-B16	B16	cs	biz gidierıh ziarata orda _svečki _kak mum yahierıh durierıh	10.612
0001_DoReCo_doreco_urum1249_UUM-TXT-FM-00000-A01	A01	cs	bizım _semya tian	1.338
0001_DoReCo_doreco_urum1249_UUM-TXT-FM-00000-A02	A02	urum	školai ğurtuldum gettım rassiaya	3.166
0001_DoReCo_doreco_urum1249_UUM-TXT-FM-00000-A03	A03	cs	bän gej ävländım _no biräz ğardašlarımdä äpısindän gej _no _u _menya _dva _slavnıkh iki ğoččağ oğlannardırlar	8.63
0001_DoReCo_doreco_urum1249_UUM-TXT-FM-00000-A04	A04	urum	bänim äbälärim dädälärim äp urumdurlar	5.74
0001_DoReCo_doreco_urum1249_UUM-TXT-FM-00000-A05	A05	urum	baba anadan oldi beštänä ğardaš birtänädä baji	3.04
0001_DoReCo_doreco_urum1249_UUM-TXT-FM-00000-A06	A06	urum	ğariinän bänıh	1.2
0001_DoReCo_doreco_urum1249_UUM-TXT-FM-00000-A07	A07	cs	bänım _babuškam ävränliidi gäldi jinisä deduškami aldi	5.676
0001_DoReCo_doreco_urum1249_UUM-TXT-FM-00000-A08	A08	cs	yaširıh šei mamam babam babuškamdır elä _i äkirıh kartolmartol onnan yaširıh	6.697
0001_DoReCo_doreco_urum1249_UUM-TXT-FM-00000-A09	A09	urum	biz fs_burda fs_o olduh burdada yašadıh babam anam buradaidi dädä äbämäbä äp buradaidıh	7.903
0001_DoReCo_doreco_urum1249_UUM-TXT-FM-00000-A10	A10	cs	baamın _semya böyük semyadır birın ikikärän ävländi	5.971
0001_DoReCo_doreco_urum1249_UUM-TXT-FM-00000-A11	A11	urum	semyam bän iki ğari aldım birınji ğarımdan üčtänä ušağım varıdi iki ğız bir oğlan iki ğız bir oğlan	8.777
0001_DoReCo_doreco_urum1249_UUM-TXT-FM-00000-A13	A13	urum	babam anam vardır üčtänädä ušağım	3.2
0001_DoReCo_doreco_urum1249_UUM-TXT-FM-00000-A15	A15	urum	ğardašım vardır babam mamam an dörttänäih ävdä	4.121
0001_DoReCo_doreco_urum1249_UUM-TXT-FM-00000-A16	A16	urum	ištem nä bänım ui_ataanam čoban adamıdi savkhozda čobannığa gidirdılär sora ištem bizläri peida ettılär čätınnıh onnanda yašamah čätınıdi čoban adam ki nä olajah čätınnıh	12.225
0001_DoReCo_doreco_urum1249_UUM-TXT-FM-00000-B01	B01	urum	bänım anam gäräkliidi babamda baškövli	3.666
0001_DoReCo_doreco_urum1249_UUM-TXT-FM-00000-B02	B02	urum	bizım ojahımızdada anamıdi babamıdi dört ğardašıh bir böyugümüz baji bajımıs böyuk	9.534
0001_DoReCo_doreco_urum1249_UUM-TXT-FM-00000-B03	B03	urum	fp_m bänım mamamın babanın fp_m analari babalari yašierdılär kövdä	10.314
0001_DoReCo_doreco_urum1249_UUM-TXT-FM-00000-B04	B04	urum	bänım anam oldi tiflistä ama fs_ba babam oldi tsalkada	5.942
0001_DoReCo_doreco_urum1249_UUM-TXT-FM-00000-B06	B06	urum	babam yašierdi kövdä	1.44
0001_DoReCo_doreco_urum1249_UUM-TXT-FM-00000-B07	B07	urum	kövdäidım ohudum fs_ğ ğurtuldum onunji klasi	4.665
0001_DoReCo_doreco_urum1249_UUM-TXT-FM-00000-B08	B08	urum	bän yašıerdım kövdä eddikissädır kövün adi	3.042
0001_DoReCo_doreco_urum1249_UUM-TXT-FM-00000-B10	B10	cs	_da šindi bän olmušım burda tiflistä	3.645
0001_DoReCo_doreco_urum1249_UUM-TXT-FM-00000-B11	B11	urum	bän oldum akhalkalakta nerdä ki böüldüm školai ğurtaldum	4.983
0001_DoReCo_doreco_urum1249_UUM-TXT-FM-00000-B12	B12	urum	Tsalkada yašierdıh kövdä adi jızğaros	4.042
0001_DoReCo_doreco_urum1249_UUM-TXT-FM-00000-B16	B16	urum	bän oldum tiflisdä	2.246
0001_DoReCo_doreco_urum1249_UUM-TXT-LG-00000-A06	A06	cs	elä gäldi _period ki _uže biz bu dili unudirdıh _uže	3.81
0001_DoReCo_doreco_urum1249_UUM-TXT-LG-00000-A07	A07	cs	urus urus dilındä biz ohumušuh školai ğurtulmıšıh getmıšıh ğurtulmıšıh _abrazavania almıšıh	7.292
0001_DoReCo_doreco_urum1249_UUM-TXT-LG-00000-A08	A08	urum	biz biz ohirdıh urusča ohirdıh školada	3.25
0001_DoReCo_doreco_urum1249_UUM-TXT-LG-00000-A09	A09	russ	@@@	8.225
0001_DoReCo_doreco_urum1249_UUM-TXT-LG-00000-A10	A10	cs	fs_biz olduh ohuduh _russki yazıgi	2.317
0001_DoReCo_doreco_urum1249_UUM-TXT-LG-00000-A13	A13	cs	bu dilda _russki dilda bänä _kak belä yahın gälir	4.51
0001_DoReCo_doreco_urum1249_UUM-TXT-LG-00000-A16	A16	cs	_russki dil bizä an yahši urus dilidır bizä öčüri ki biz oni tez alıšıra bülirıh	5.763
0001_DoReCo_doreco_urum1249_UUM-TXT-VL-00000-A01	A01	urum	bizım kövdä böyuk kövdur	2.332
0001_DoReCo_doreco_urum1249_UUM-TXT-VL-00000-A02	A02	urum	bän gändım baiburtliam baiburtli ušağiam	3.51
0001_DoReCo_doreco_urum1249_UUM-TXT-VL-00000-A03	A03	cs	karoše karošeti artsivani _gruzinskoe _nazvanie	3.533
0001_DoReCo_doreco_urum1249_UUM-TXT-VL-00000-A04	A04	cs	bizım köv _trialetski zonadadır gruzianın teritoriasında ui_tsalkanın rayonunda	10.829
0001_DoReCo_doreco_urum1249_UUM-TXT-VL-00000-A05	A05	cs	kövün adi jinistır kolkhozudi sora oldi _savkhoz	5.27
0001_DoReCo_doreco_urum1249_UUM-TXT-VL-00000-A06	A06	urum	zängin kövüdi kolkhoz yahšiidi	2.738
0001_DoReCo_doreco_urum1249_UUM-TXT-VL-00000-A07	A07	cs	kövümüz ištem jinis _abıknavenni köv	2.726
0001_DoReCo_doreco_urum1249_UUM-TXT-VL-00000-A08	A08	cs	kövümüzdä var _škola _obšipit vardır _i kissä kissä var mäzärlik vardır	7.374
0001_DoReCo_doreco_urum1249_UUM-TXT-VL-00000-A10	A10	urum	jinis fs_biräm bizım kövün adi jinisdır	2.388
0001_DoReCo_doreco_urum1249_UUM-TXT-VL-00000-A11	A11	cs	bu kövä bän fs_gäl bän oldum fs_s _sorok _pervi godda _sorok _pervi godda oldum fs_per _sorok _pervi godda bu kövün adi fs_ji jinisıdi jinisıdi	10.016
0001_DoReCo_doreco_urum1249_UUM-TXT-VL-00000-A12	A12	urum	karakomda šindi ečbiše yohtur äp svannarınan ajarlar yašierlär	3.727
0001_DoReCo_doreco_urum1249_UUM-TXT-VL-00000-A13	A13	cs	köv baštan čoğ güzäl kövüdi ušağıdım ahlıma gälirdi _interesni olirdi prazdnikläri _interesni _atmečat edirdıh	8.601
0001_DoReCo_doreco_urum1249_UUM-TXT-VL-00000-A15	A15	urum	školasi var äriši var šeidä birınjidır klubi var sportzali var dügün šei obšepiti var	10.356
0001_DoReCo_doreco_urum1249_UUM-TXT-VL-00000-B01	B01	urum	biz yašierdıh babam yašierdi baškövdä	4.016
0001_DoReCo_doreco_urum1249_UUM-TXT-VL-00000-B02	B02	urum	bizım fs_kövdä čoğ yahši erdädır gölün ögündädır elä	4.125
0001_DoReCo_doreco_urum1249_UUM-TXT-VL-00000-B04	B04	urum	bizım köv čoğ güzäl erdädır jızğaros	3.973
0001_DoReCo_doreco_urum1249_UUM-TXT-VL-00000-B06	B06	cs	bänım _ana babamın kövi čoğ güzäl kövüdi	3.554
0001_DoReCo_doreco_urum1249_UUM-TXT-VL-00000-B07	B07	cs	bizım kövdä varıdi ziaratlar _arios yoryos meriamana _ai haralammbos _ai bavlos	8.084
0001_DoReCo_doreco_urum1249_UUM-TXT-VL-00000-B08	B08	cs	bän _značit böyudüm eddikissädä	2.134
0001_DoReCo_doreco_urum1249_UUM-TXT-VL-00000-B09	B09	urum	mamamın ködä ee yahši ee ee yapılardır	8.72
0001_DoReCo_doreco_urum1249_UUM-TXT-VL-00000-B10	B10	cs	_nu bizım köv näsıldır	1.74
0001_DoReCo_doreco_urum1249_UUM-TXT-VL-00000-B11	B11	cs	akhalkalak näsıl bayahtan dedım fs_kask _kaspski rayondır	7.24
0001_DoReCo_doreco_urum1249_UUM-TXT-VL-00000-B12	B12	urum	kövümüzüm adi jısğaro	1.962
0001_DoReCo_doreco_urum1249_UUM-TXT-VL-00000-B13	B13	urum	fp_aa bizım köv jinis ey kövdür	3.58
0001_DoReCo_doreco_urum1249_UUM-TXT-VL-00000-B16	B16	urum	babam yašierdi eddikilisädä soram gečti tiflisä	5.422
0002_DoReCo_doreco_urum1249_UUM-TXT-AN-00000-A01	A01	cs	burda gäldılär yaptılar kissä fp_i _školu mäzärlık yaptılar	6.216
0002_DoReCo_doreco_urum1249_UUM-TXT-AN-00000-A02	A02	cs	soradan oldi näblem nä oldi _palaženia köti oldi	5.91
0002_DoReCo_doreco_urum1249_UUM-TXT-AN-00000-A03	A03	russ	_pervı _kto _priehal _s _našei _familiei _pavlik _on @ _bıl	5.032
0002_DoReCo_doreco_urum1249_UUM-TXT-AN-00000-A04	A04	urum	pr_bizım gäldılär ata ana äbä dädä bin säkkizuyz igirmi dohküzunjidan fp_vot bin säkkizuyz ottuzunji ellar	13.492
0002_DoReCo_doreco_urum1249_UUM-TXT-AN-00000-A05	A05	urum	di	0.416
0002_DoReCo_doreco_urum1249_UUM-TXT-AN-00000-A06	A06	urum	jaal oğlanıdi biräz ki yašadiisä ävländi burda	6.388
0002_DoReCo_doreco_urum1249_UUM-TXT-AN-00000-A07	A07	urum	orda käsirdılär buraya gäldılär	2.836
0002_DoReCo_doreco_urum1249_UUM-TXT-AN-00000-A08	A08	urum	yaptıh yapi	0.864
0002_DoReCo_doreco_urum1249_UUM-TXT-AN-00000-A09	A09	cs	_a fs_u gäldılär buraya fp_mm	3.11
0002_DoReCo_doreco_urum1249_UUM-TXT-AN-00000-A11	A11	cs	gürjistana biz gäldıh fp_ee _naši dedi _tısyaču _vasemsot _dvatsat _sedmom _gadu	8.329
0002_DoReCo_doreco_urum1249_UUM-TXT-AN-00000-A12	A12	cs	orda bizlärä yahši gün vermierdılär dögüš gidierdi bizlärä ui_dedılär _ya dilızi itırirsız yada dinızi itırirsız angısıni istiersıs	7.854
0002_DoReCo_doreco_urum1249_UUM-TXT-AN-00000-A13	A13	urum	turtsialar ğırirdılar bizım halhi	2.209
0002_DoReCo_doreco_urum1249_UUM-TXT-AN-00000-A14	A14	cs	o nahıl edir bizä čoğ bänım ğardašlarıma bänä ki gändılär gälmišlär turtsiadan fp_ee _v _tısyača _devyatsot _tritsatom _gadu näsıl gäldılär buraya	10.916
0002_DoReCo_doreco_urum1249_UUM-TXT-AN-00000-A15	A15	urum	ište gäldım birınji fahırlığıdi belä sora sora ište babam onnar onnar ište oldum bän	9.37
0002_DoReCo_doreco_urum1249_UUM-TXT-AN-00000-A16	A16	cs	_značit bän bülierım ki ataamanım gälmıš turtsiadan dedälärım	3.597
0002_DoReCo_doreco_urum1249_UUM-TXT-AN-00000-B02	B02	urum	bin säkiz yuz otuz birınji sänädä	2.065
0002_DoReCo_doreco_urum1249_UUM-TXT-AN-00000-B06	B06	urum	čoğ fs_gü gün oldaidılar	2.172
0002_DoReCo_doreco_urum1249_UUM-TXT-AN-00000-B07	B07	urum	bašlandi dögüš	1.518
0002_DoReCo_doreco_urum1249_UUM-TXT-AN-00000-B08	B08	urum	gäldılar yolda čoğ gün gälerdılär	2.798
0002_DoReCo_doreco_urum1249_UUM-TXT-AN-00000-B11	B11	urum	kimısi getti rusetä kimısi gruziaya gäldi ukrainaya gettılär	4.437
0002_DoReCo_doreco_urum1249_UUM-TXT-AN-00000-B12	B12	urum	orda turklar ınan bašlandi dögüš	3.757
0002_DoReCo_doreco_urum1249_UUM-TXT-AN-00000-B13	B13	urum	bizım halh gäldi gürjüstana turtsiadan	4.115
0002_DoReCo_doreco_urum1249_UUM-TXT-AN-00000-B14	B14	urum	gäldılär sora yašierdılär tsalkada	2.913
0002_DoReCo_doreco_urum1249_UUM-TXT-AN-00000-B16	B16	russ	_značit	0.885
0002_DoReCo_doreco_urum1249_UUM-TXT-CL-00000-A02	A02	urum	fs_bän musurmanja mäsällämä bülmierdım eč bänzämädım babama	4.35
0002_DoReCo_doreco_urum1249_UUM-TXT-CL-00000-A03	A03	urum	šura ökmätım iššıh gätırmiš gözlärımızä	2.528
0002_DoReCo_doreco_urum1249_UUM-TXT-CL-00000-A04	A04	urum	yahši ğanirıh ama biz gändımız čoğ diamäzıh	4.309
0002_DoReCo_doreco_urum1249_UUM-TXT-CL-00000-A05	A05	urum	tsalga oldi	0.96
0002_DoReCo_doreco_urum1249_UUM-TXT-CL-00000-A07	A07	urum	dağda maral gäzär čäğırirdi türki	2.326
0002_DoReCo_doreco_urum1249_UUM-TXT-CL-00000-A10	A10	urum	ğapi düšti ğoluma	1.895
0002_DoReCo_doreco_urum1249_UUM-TXT-CL-00000-B03	B03	urum	bizım halh sahladılar ärbirıš ettılär ona öčüri ki sahliaidılar gändının religiasıni	7.452
0002_DoReCo_doreco_urum1249_UUM-TXT-CL-00000-B16	B16	cs	fs_mamam _turki fs_an _skazka _kak _budet _ne _znayu _dazhe bülmierım ahlımagälmer dierdi yohsa yoh	8.719
0002_DoReCo_doreco_urum1249_UUM-TXT-FE-00000-A01	A01	cs	_dvadsat _sedmoe ah šami _vasmoe	3.19
0002_DoReCo_doreco_urum1249_UUM-TXT-FE-00000-A02	A02	cs	ahšamdan _dvadsat _sedmova _na _dvadsat _vasmoe	4.825
0002_DoReCo_doreco_urum1249_UUM-TXT-FE-00000-A03	A03	cs	äp halh eğılir mum yaherlär _muzıku fs_arg _muzıka ederlär ğurban käsırlär	7.151
0002_DoReCo_doreco_urum1249_UUM-TXT-FE-00000-A04	A04	urum	bizdän öttüri o böyuk prazdniktır	4.285
0002_DoReCo_doreco_urum1249_UUM-TXT-FE-00000-A05	A05	cs	onnar heč bu ğarıšmerlär bizım išä _ya kissäya girmäh nä mum yahmah _sveči msveči onnar etmäh yohtur	7.302
0002_DoReCo_doreco_urum1249_UUM-TXT-FE-00000-A06	A06	cs	_vot meriamana gäler bizım _dvatsat _vasmoe avgustadır	6.659
0002_DoReCo_doreco_urum1249_UUM-TXT-FE-00000-A07	A07	urum	äväldän ğarılar äväldän čoğ bülirdılär bar dutar oinardılär čağırırdılär	6.132
0002_DoReCo_doreco_urum1249_UUM-TXT-FE-00000-A08	A08	cs	fs_är är erdän halh gälir meriamana pak _muzıka iš gälirlär	5.149
0002_DoReCo_doreco_urum1249_UUM-TXT-FE-00000-A09	A09	cs	sabahtan gidirdıh gejädä ğalirdıh orda yat oturirdıh halılari särdıh oturirdıh _do fs_utr sabağaačen mer iamana ičındä oturirdıh	12.277
0002_DoReCo_doreco_urum1249_UUM-TXT-FE-00000-A10	A10	urum	sora sabah özgä yanından gretsiad an gälirlär rassiadan kiprdan kimki nerdä var gälerlär mum yaher	6.266
0002_DoReCo_doreco_urum1249_UUM-TXT-FE-00000-A11	A11	urum	oğulušağınan barabar äp tomari šendigınän barabar oturir iir ičirıh ui_anelä	8.13
0002_DoReCo_doreco_urum1249_UUM-TXT-FE-00000-A12	A12	cs	övlädän sora bögün dägıl meriamana sabahtan _dvatsat _sedmoi övlädän sora eğılierıh gidierıh kissäya	5.952
0002_DoReCo_doreco_urum1249_UUM-TXT-FE-00000-A13	A13	cs	meriamanai _atmečat edirıh biz tezdän	3.04
0002_DoReCo_doreco_urum1249_UUM-TXT-FE-00000-A14	A14	cs	meriamana güni _dvatsat _vasmoe _avgusta bizım halh äp urumluh gidirıh kissänın ğapısına	6.131
0002_DoReCo_doreco_urum1249_UUM-TXT-FE-00000-A15	A15	cs	güzäl _atmečat muzıkainan tohli käsirıh eğılirlär halh iir ičirlär güzäl _atmečat edirlär	7.799
0002_DoReCo_doreco_urum1249_UUM-TXT-FE-00000-A16	A16	cs	gejä gidirıh orda ğalirıh _muzıka sabağısi ğalhirıh genä gidirıh _muzıka meriamanada bizım kissämızdä mumlarımızi yahirıh	10.073
0002_DoReCo_doreco_urum1249_UUM-TXT-FE-00000-B01	B01	urum	gürjülär ziarat güni gidierlär ziarata	3.528
0002_DoReCo_doreco_urum1249_UUM-TXT-FE-00000-B02	B02	urum	čoğ halh gälier burdan tiflistanda näki šei urumlar vardır urum milläti gidierlär orya	6.435
0002_DoReCo_doreco_urum1249_UUM-TXT-FE-00000-B03	B03	urum	bizım halh fs_me fs_m meriamana güni oki olir giderlär ui_tezındän kisläya yahierlär mum	7.659
0002_DoReCo_doreco_urum1249_UUM-TXT-FE-00000-B06	B06	urum	meriamana günündä onbeš avgustta biz bizım yoldašlarınan gidierıh trabzona	8.935
0002_DoReCo_doreco_urum1249_UUM-TXT-FE-00000-B07	B07	urum	halh sabahtan tezdän ğalherlär mumlari alerlär	6.968
0002_DoReCo_doreco_urum1249_UUM-TXT-FE-00000-B08	B08	cs	meriamana _prazdnik _vabše khristianski prazdnikdır	2.788
0002_DoReCo_doreco_urum1249_UUM-TXT-FE-00000-B11	B11	cs	_nu fs_gru ğurjülär gidierlär kisläya mum yahierlär _nu biräz äkmäk ierlär hä ama	9.279
0002_DoReCo_doreco_urum1249_UUM-TXT-FE-00000-B12	B12	urum	üč gün kissänın dörtyanıni kırlanajağıdıh	3.229
0002_DoReCo_doreco_urum1249_UUM-TXT-FE-00000-B14	B14	cs	meriamanai bizım halh urumlar _vstrečat ederlär čoğ yahši	5.04
0002_DoReCo_doreco_urum1249_UUM-TXT-FE-00000-B16	B16	urum	sora ävä gälerıh	1.137
0002_DoReCo_doreco_urum1249_UUM-TXT-FM-00000-A01	A01	cs	papam mamam ikısidä _učitel _učitelnitsa burda išlierdılär jinistä	4.946
0002_DoReCo_doreco_urum1249_UUM-TXT-FM-00000-A02	A02	cs	girdım ohumaya ğurtuldum _pedagog oldum	3.914
0002_DoReCo_doreco_urum1249_UUM-TXT-FM-00000-A03	A03	cs	_očen _abrazovannıe _vaspitannıe _ya _khatel _eta _mečtal _čtobı olalar _glubako _abrazovannıe _glubako _paradačnımi _lyudmi	10.212
0002_DoReCo_doreco_urum1249_UUM-TXT-FM-00000-A04	A04	urum	onnar alerdılär äp fs_u urumlari belä	4.341
